handle,name,type,description,price,visible,sku,productImageUrl,category
masha-archer-red-and-black-collar,Masha Archer Red and Black Collar,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,2375.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1633625391462-41J3OO24P0OLHZQU4EC0/IMG_7465%2Bsmall.jpg,Necklaces
masha-archer-plum-wreath-#3-necklace,Masha Archer Plum Wreath #3 Necklace,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,575.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1633629496518-ULAX7BJ5YSUXLUG7E2E1/IMG_7487.jpg,Necklaces
masha-archer-black-and-red-wreath,Masha Archer Black and Red Wreath,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,575.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1609288606625-GMM0CS1JDH3O6IYZNUO7/IMG_7467+cropped.jpg,Necklaces
masha-archer-the-merry-widow,Masha Archer The Merry Widow,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,2475.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1609288949185-7GS9C42P1WBY7PPJ30R1/IMG_7477+cropped.jpg,Necklaces
masha-archer-black-and-green-collar,Masha Archer Black and Green Collar,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,3675.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1609288815271-GKYL0COJODICN06Y6C10/IMG_7472+cropped.jpg,Necklaces
masha-archer-the-main-hearth,Masha Archer The Main Hearth,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,2675.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1609289269421-GG018S41R4W783U1LLZ3/IMG_7492+cropped.jpg,Necklaces
masha-archer-green-and-red-collar-#4,Masha Archer Green and Red Collar #4,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,2875.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1756711053600-UIZWLXFU38N0UTFRFF9W/F57B6975-AFB7-4F3B-9494-B22BB488C136.jpeg,Necklaces
masha-archer-blue-and-black-wreath-#10b,Masha Archer Blue and Black Wreath #10B,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,375.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1756596659591-4IHJXLLQ2M3GRKZOGLD2/211A1143-49A1-4C2C-98F9-09472DC23F76.jpeg,Necklaces
masha-archer-blue-gorget-#10,Masha Archer Blue Gorget #10,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,1875.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1756594836302-79QXMPKDXJLBIVBK892L/F9E2B23C-A055-47BF-B59D-484469BC83AA.jpeg,Necklaces
masha-archer-turquoise-and-red-gorget-#12,Masha Archer Turquoise and Red Gorget #12,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,1275.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1756600775149-3BNDQYKDLC2P8AYZB89G/5ED86597-1BBC-469F-A65B-5A56A6DE2412.jpeg,Necklaces
masha-archer-white-and-blue-wreath,Masha Archer White and Blue Wreath,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,475.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1609288310168-TZFJ325R5NI4V3CP40MS/IMG_7452+cropped.jpg,Necklaces
masha-archer-lavender-mint-glass-mint-collar,Masha Archer Lavender Mint Glass Mint Collar,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,1950.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1609287389958-WC5C3AQJZSF5PHJXP0RU/IMG_7412+cropped.jpg,Necklaces
masha-archer-white-opalite-spectator,Masha Archer White Opalite Spectator,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,2375.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1633624740936-W3SK02XRUGWK71MZR2CR/IMG_7460%2Bsmall.jpg,Necklaces
masha-archer-turquoise-opalite-wreath-#6,Masha Archer Turquoise Opalite Wreath #6,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,1750.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1756602649501-PHZP8RM93O5D2NXYKOTE/B80BB048-0C9B-4ABE-979B-787B8D9203BE.jpeg,Necklaces
masha-archer-white-opalite-pastel-wreath-#2,Masha Archer White Opalite Pastel Wreath #2,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,575.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1756602999633-YAUCKPQNTH7EMTI4TQAD/9DD7ABAA-8F12-4F20-9909-0167D3EBDCBF.jpeg,Necklaces
masha-archer-tear-drop-wreath-#3,Masha Archer Tear Drop Wreath #3,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,675.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1756603471256-5FBLME5LP1W2DQTFGD7X/CCEA4B28-20E0-4E15-A90E-D145E181BA67.jpeg,Necklaces
masha-archer-saffron-ziggurat-#3b,Masha Archer Saffron Ziggurat #3b,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,2875.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1633627528528-UQT955D2BSDA41NFZ0RT/IMG_7471.JPEG,Necklaces
masha-archer-himalayan-wreath-#3y,Masha Archer Himalayan Wreath #3y,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,1750.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1756710996227-GNTJVI1DGPTDPXKMQVGF/63895108-97F5-4D7C-B6E2-B206247986C9.jpeg,Necklaces
masha-archer-spiral-motif-earrings,Masha Archer Spiral Motif Earrings,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,225.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1633630455961-BKQRAIQ1K2Y4N4KFPIGZ/IMG_7512+small.JPEG,Earrings
masha-archer-mahgreb-series-copal-earrings,"Masha Archer ""Mahgreb Series'' Copal Earrings",physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,225.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1633630561342-OFP12L7CLKW6KBCQKYQM/IMG_7518+small.JPEG,Earrings
masha-archer-rose-opalite-earrings,Masha Archer Rose Opalite Earrings,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,225.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1757035114925-VZ3W1P5NJZGXY8VYN499/342DF423-E410-47B9-B954-211B377DD2AC.jpeg,Earrings
masha-archer-chalcedony-earrings,Masha Archer Chalcedony Earrings,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,225.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1757035310287-APLQQN0SPF4JRPVCBLXN/F871B588-3AD1-4165-906D-B65D6D2B97DA.jpeg,Earrings
masha-archer-amber-earrings,Masha Archer Amber Earrings,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,225.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1757035358064-SNOTUNKDP1BEHIM2F044/4B4BEC0B-A03C-4450-ABD2-442A6EC606D5.jpeg,Earrings
masha-archer-howlite-earrings,Masha Archer Howlite Earrings,physical,<p>A one-of-a-kind original statement piece handcrafted by Masha Archer in her San Francisco studio.</p>,225.00,true,,https://images.squarespace-cdn.com/content/v1/56df36ce2fe1316ffbfe01f6/1757035551060-33KCAUCTX111TKXKONLF/2C5707C5-44FE-4E84-AFA7-C918D5F6765B.jpeg,Earrings
